HSA # (NCI Modified),Health Service Area (NCI Modified) Description,State-county,FIPS
259,"Butler, AL",AL: Butler County (01013),01013
177,"Calhoun (Anniston), AL - Cleburne, AL",AL: Calhoun County (01015),01015
177,"Calhoun (Anniston), AL - Cleburne, AL",AL: Cleburne County (01029),01029
172,"Chambers, AL - Randolph, AL",AL: Chambers County (01017),01017
172,"Chambers, AL - Randolph, AL",AL: Randolph County (01111),01111
412,"Choctaw, AL - Sumter, AL",AL: Choctaw County (01023),01023
412,"Choctaw, AL - Sumter, AL",AL: Sumter County (01119),01119
175,"Dallas, AL - Marengo, AL",AL: Dallas County (01047),01047
175,"Dallas, AL - Marengo, AL",AL: Marengo County (01091),01091
175,"Dallas, AL - Marengo, AL",AL: Perry County (01105),01105
175,"Dallas, AL - Marengo, AL",AL: Wilcox County (01131),01131
163,"Escambia, AL - Conecuh, AL",AL: Conecuh County (01035),01035
163,"Escambia, AL - Conecuh, AL",AL: Escambia County (01053),01053
224,"Etowah (Gadsden), AL - Marshall, AL",AL: Cherokee County (01019),01019
224,"Etowah (Gadsden), AL - Marshall, AL",AL: DeKalb County (01049),01049
224,"Etowah (Gadsden), AL - Marshall, AL",AL: Etowah County (01055),01055
224,"Etowah (Gadsden), AL - Marshall, AL",AL: Marshall County (01095),01095
162,"Houston (Dothan), AL - Dale, AL",AL: Barbour County (01005),01005
162,"Houston (Dothan), AL - Dale, AL",AL: Coffee County (01031),01031
162,"Houston (Dothan), AL - Dale, AL",AL: Dale County (01045),01045
162,"Houston (Dothan), AL - Dale, AL",AL: Geneva County (01061),01061
162,"Houston (Dothan), AL - Dale, AL",AL: Henry County (01067),01067
162,"Houston (Dothan), AL - Dale, AL",AL: Houston County (01069),01069
150,"Jefferson (Birmingham), AL - Shelby, AL",AL: Bibb County (01007),01007
150,"Jefferson (Birmingham), AL - Shelby, AL",AL: Blount County (01009),01009
150,"Jefferson (Birmingham), AL - Shelby, AL",AL: Chilton County (01021),01021
150,"Jefferson (Birmingham), AL - Shelby, AL",AL: Cullman County (01043),01043
150,"Jefferson (Birmingham), AL - Shelby, AL",AL: Jefferson County (01073),01073
150,"Jefferson (Birmingham), AL - Shelby, AL",AL: Shelby County (01117),01117
150,"Jefferson (Birmingham), AL - Shelby, AL",AL: St. Clair County (01115),01115
150,"Jefferson (Birmingham), AL - Shelby, AL",AL: Walker County (01127),01127
461,"Lamar, AL",AL: Lamar County (01075),01075
219,"Lauderdale (Florence), AL - Colbert, AL",AL: Colbert County (01033),01033
219,"Lauderdale (Florence), AL - Colbert, AL",AL: Franklin County (01059),01059
219,"Lauderdale (Florence), AL - Colbert, AL",AL: Lauderdale County (01077),01077
219,"Lauderdale (Florence), AL - Colbert, AL",AL: Winston County (01133),01133
179,"Lee (Auburn), AL - Elmore, AL",AL: Elmore County (01051),01051
179,"Lee (Auburn), AL - Elmore, AL",AL: Lee County (01081),01081
179,"Lee (Auburn), AL - Elmore, AL",AL: Macon County (01087),01087
179,"Lee (Auburn), AL - Elmore, AL",AL: Tallapoosa County (01123),01123
210,"Madison (Huntsville), AL - Limestone, AL",AL: Jackson County (01071),01071
210,"Madison (Huntsville), AL - Limestone, AL",AL: Limestone County (01083),01083
210,"Madison (Huntsville), AL - Limestone, AL",AL: Madison County (01089),01089
247,"Marion, AL - Fayette, AL",AL: Fayette County (01057),01057
247,"Marion, AL - Fayette, AL",AL: Marion County (01093),01093
161,"Mobile (Mobile), AL - Baldwin, AL",AL: Baldwin County (01003),01003
161,"Mobile (Mobile), AL - Baldwin, AL",AL: Clarke County (01025),01025
161,"Mobile (Mobile), AL - Baldwin, AL",AL: Mobile County (01097),01097
161,"Mobile (Mobile), AL - Baldwin, AL",AL: Monroe County (01099),01099
161,"Mobile (Mobile), AL - Baldwin, AL",AL: Washington County (01129),01129
171,"Montgomery (Montgomery), AL - Autauga, AL",AL: Autauga County (01001),01001
171,"Montgomery (Montgomery), AL - Autauga, AL",AL: Bullock County (01011),01011
171,"Montgomery (Montgomery), AL - Autauga, AL",AL: Covington County (01039),01039
171,"Montgomery (Montgomery), AL - Autauga, AL",AL: Crenshaw County (01041),01041
171,"Montgomery (Montgomery), AL - Autauga, AL",AL: Lowndes County (01085),01085
171,"Montgomery (Montgomery), AL - Autauga, AL",AL: Montgomery County (01101),01101
171,"Montgomery (Montgomery), AL - Autauga, AL",AL: Pike County (01109),01109
185,"Morgan (Decatur), AL - Lawrence, AL",AL: Lawrence County (01079),01079
185,"Morgan (Decatur), AL - Lawrence, AL",AL: Morgan County (01103),01103
166,"Russell, AL",AL: Russell County (01113),01113
241,"Talladega, AL - Clay, AL",AL: Clay County (01027),01027
241,1027,AL: Coosa County (01037),01037
241,"Talladega, AL - Clay, AL",AL: Talladega County (01121),01121
156,"Tuscaloosa (Tuscaloosa), AL - Pickens, AL",AL: Greene County (01063),01063
156,"Tuscaloosa (Tuscaloosa), AL - Pickens, AL",AL: Hale County (01065),01065
156,"Tuscaloosa (Tuscaloosa), AL - Pickens, AL",AL: Pickens County (01107),01107
156,"Tuscaloosa (Tuscaloosa), AL - Pickens, AL",AL: Tuscaloosa County (01125),01125
1022,Blank(s),AL: Unknown (01999),01999
996,Alaska - Entire state,AK: Entire state (02900),02900
820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",AK: Aleutian Islands Census Area (02010) - 1990-1993,02010
820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",AK: Aleutians East Borough (02013) - 1994+,02013
820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",AK: Aleutians West Census Area (02016) - 1994+,02016
820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",AK: Anchorage Municipality (02020) - 1990+,02020
820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",AK: Bethel Census Area (02050) - 1990+,02050
820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",AK: Bristol Bay Borough (02060) - 1990+,02060
820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",AK: Dillingham Census Area (02070) - 1994+,02070
820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",AK: Dillingham/Lake and Peninsula (02910) - 1990-1993,02910
820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",AK: Kenai Peninsula Borough (02122) - 1990+,02122
820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",AK: Kodiak Island Borough (02150) - 1990+,02150
820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",AK: Lake and Peninsula Borough (02164) - 1994+,02164
820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",AK: Matanuska-Susitna Borough (02170) - 1990+,02170
820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",AK: Nome Census Area (02180) - 1990+,02180
820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",AK: North Slope Borough (02185) - 1990+,02185
820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",AK: Northwest Arctic Borough (02188) - 1990+,02188
820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",AK: Valdez-Cordova Census Area (02261) - 1990+,02261
820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",AK: Wade Hampton Census Area (02270) - 1990+,02270
819,"Fairbanks North Star Borough, AK - Denali/Yukon-Koyukuk, AK",AK: Denali Borough (02068) - 1990+,02068
819,"Fairbanks North Star Borough, AK - Denali/Yukon-Koyukuk, AK",AK: Fairbanks North Star Borough (02090) - 1990+,02090
819,"Fairbanks North Star Borough, AK - Denali/Yukon-Koyukuk, AK",AK: Southeast Fairbanks Census Area (02240) - 1990+,02240
819,"Fairbanks North Star Borough, AK - Denali/Yukon-Koyukuk, AK",AK: Yukon-Koyukuk Census Area (02290) - 1990+,02290
818,"Juneau City and Borough, AK - Sitka City and Borough, AK",AK: Haines Borough (02100) - 1990+,02100
818,"Juneau City and Borough, AK - Sitka City and Borough, AK",AK: Juneau City and Borough (02110) - 1990+,02110
818,"Juneau City and Borough, AK - Sitka City and Borough, AK",AK: Sitka City and Borough (02220) - 1990+,02220
818,"Juneau City and Borough, AK - Sitka City and Borough, AK",AK: Skagway-Hoonah-Angoon Census Area (02232) - 1994+,02232
818,"Juneau City and Borough, AK - Sitka City and Borough, AK",AK: Skagway-Yakutat-Angoon Census Ar (02231) - 1990-1993,02231
818,"Juneau City and Borough, AK - Sitka City and Borough, AK",AK: Yakutat City and Borough (02282) - 1994+,02282
817,"Ketchikan Gateway Borough, AK - Wrangell-Petersburg Cen, AK",AK: Ketchikan Gateway Borough (02130) - 1990+,02130
817,"Ketchikan Gateway Borough, AK - Wrangell-Petersburg Cen, AK",AK: Prince of Wales-Outer Ketchikan Cen Ar (02201) - 1990+,02201
817,"Ketchikan Gateway Borough, AK - Wrangell-Petersburg Cen, AK",AK: Wrangell-Petersburg Census Area (02280) - 1990+,02280
