county_fips,Geo_FIPS,SE_A00001_001,life_exp,weighted_life
1001,1001020100,1948,73.1,142398.8
1001,1001020200,2156,76.9,165796.4
1001,1001020400,4423,75.4,333494.2
1001,1001020500,10763,79.4,854582.2
1001,1001020600,3851,73.1,281508.1
1001,1001020801,3187,78.3,249542.1
1001,1001020802,10915,76.9,839363.5
1001,1001020900,5668,73.9,418865.2
1001,1001021000,3286,74,243164
1001,1001021100,3295,72.2,237899
1003,1003010100,3829,75.2,287940.8
1003,1003010200,2869,72.9,209150.1
1003,1003010300,7455,75,559125
1003,1003010400,4537,76,344812
1003,1003010500,5321,78,415038
1003,1003010600,3398,71.8,243976.4
1003,1003010701,7813,79.6,621914.8
1003,1003010703,16099,80.1,1289529.9
1003,1003010704,5411,81,438291
1003,1003010705,9403,77.7,730613.1
1003,1003010800,7645,80.5,615422.5
1003,1003010903,5810,76.9,446789
1003,1003010904,6949,75.8,526734.2
1003,1003010905,7814,78.9,616524.6
1003,1003010906,5029,74.8,376169.2
1003,1003011000,4195,72.1,302459.5
1003,1003011101,9220,80,737600
1003,1003011102,4181,78.2,326954.2
1003,1003011201,4715,78.6,370599
1003,1003011202,6097,80.4,490198.8
1003,1003011300,4713,82.1,386937.3
1003,1003011401,10709,78.7,842798.3
1003,1003011403,9461,78.3,740796.3
1003,1003011405,3709,77.8,288560.2
1003,1003011406,3600,78.7,283320
1003,1003011407,4946,79.1,391228.6
1003,1003011408,704,#N/A,#N/A
1003,1003011501,5771,78.5,453023.5
1003,1003011502,11549,75.7,874259.3
1003,1003011601,6445,74.6,480797
1003,1003011602,5724,#N/A,#N/A
1003,1003990000,0,#N/A,#N/A
1005,1005950100,3524,75.7,266766.8
1005,1005950200,4320,72.2,311904
1005,1005950300,1682,75.2,126486.4
1005,1005950400,3606,76.9,277301.4
1005,1005950500,3907,#N/A,#N/A
1005,1005950600,1959,71.2,139480.8
1005,1005950700,1896,73.1,138597.6
1005,1005950800,2093,#N/A,#N/A
1005,1005950900,3945,73.5,289957.5
1007,1007010001,2874,70.9,203766.6
1007,1007010002,6511,74.4,484418.4
1007,1007010003,4848,75.1,364084.8
1007,1007010004,8371,73.8,617779.8
1009,1009050101,7598,77.5,588845
1009,1009050102,7518,75.6,568360.8
1009,1009050200,3412,76.9,262382.8
1009,1009050300,5246,77.1,404466.6
1009,1009050400,4764,73.2,348724.8
1009,1009050500,7007,75.7,530429.9
1009,1009050601,4127,77.8,321080.6
1009,1009050602,9263,77.3,716029.9
1009,1009050700,8775,73.6,645840
1011,1011952100,1989,78.5,156136.5
1011,1011952200,5726,76.3,436893.8
1011,1011952500,2963,78,231114
1013,1013952700,2244,73.8,165607.2
1013,1013952800,1473,78.1,115041.3
1013,1013952900,2297,73.2,168140.4
1013,1013953000,1516,71.2,107939.2
1013,1013953100,3039,71.4,216984.6
1013,1013953200,3793,74.1,281061.3
1013,1013953300,1839,72.7,133695.3
1013,1013953400,2824,72.6,205022.4
1013,1013953500,1329,#N/A,#N/A
1015,1015000200,3358,75.6,253864.8
1015,1015000300,2444,67.1,163992.4
1015,1015000400,2469,69.9,172583.1
1015,1015000500,1517,#N/A,#N/A
1015,1015000600,1958,68.3,133731.4
1015,1015000700,2785,70.1,195228.5
1015,1015000800,1302,67.8,88275.6
1015,1015000900,3810,79.7,303657
1015,1015001000,6093,76.7,467333.1
1015,1015001100,6781,75.1,509253.1
1015,1015001201,3300,72.7,239910
1015,1015001202,3873,77.2,298995.6
1015,1015001300,2251,67.9,152842.9
1015,1015001400,3354,72.3,242494.2
1015,1015001500,5075,73,370475
1015,1015001600,3599,71.9,258768.1
1015,1015001700,6869,74.7,513114.3
1015,1015001800,6488,74.4,482707.2
1015,1015002000,7063,74.2,524074.6
1015,1015002101,3778,72.9,275416.2
1015,1015002102,3315,77.8,257907
1015,1015002103,7222,75.2,543094.4
1015,1015002200,3374,68.1,229769.4
1015,1015002300,3605,#N/A,#N/A
1015,1015002400,4388,74.2,325589.6
1015,1015002501,7374,76.1,561161.4
1015,1015002502,4439,75.5,335144.5
1015,1015002600,4760,#N/A,#N/A
1015,1015981901,4,#N/A,#N/A
1015,1015981902,0,#N/A,#N/A
1015,1015981903,0,#N/A,#N/A
1017,1017953800,3877,77.7,301242.9
1017,1017953900,3094,77,238238
1017,1017954000,6473,76.5,495184.5
1017,1017954200,3313,71.2,235885.6
1017,1017954300,4789,73.4,351512.6
1017,1017954400,906,70.8,64144.8
1017,1017954500,4006,70,280420
1017,1017954600,3060,72.9,223074
1017,1017954700,4561,73,332953
1019,1019955701,3633,74.6,271021.8
1019,1019955702,4256,74,314944
1019,1019955800,5248,74.8,392550.4
1019,1019955900,4285,72.8,311948
1019,1019956000,4422,73.6,325459.2
1019,1019956100,4164,74.7,311050.8
1021,1021060101,4632,71.5,331188
1021,1021060102,6445,72.9,469840.5
1021,1021060200,2868,74.4,213379.2
1021,1021060300,3800,74.8,284240
1021,1021060401,5993,75.7,453670.1
1021,1021060402,8784,74.9,657921.6
1021,1021060500,2898,72.8,210974.4
1021,1021060600,3357,73.7,247410.9
1021,1021060700,5042,74.6,376133.2
1023,1023956700,3024,73.6,222566.4
1023,1023956800,4313,75,323475
1023,1023956900,3750,75,281250
1023,1023957000,2308,75.2,173561.6
1025,1025957500,1319,76.4,100771.6
1025,1025957601,1076,70.9,76288.4
1025,1025957602,5169,76.6,395945.4
1025,1025957700,1607,76.4,122774.8
1025,1025957800,4894,73.4,359219.6
1025,1025957901,4047,#N/A,#N/A
1025,1025957902,4172,76.1,317489.2
1025,1025958001,1022,69.7,71233.4
1025,1025958002,1764,75.6,133358.4
1027,1027958900,5151,74.1,381689.1
1027,1027959000,3426,75.9,260033.4
1027,1027959100,2699,74.6,201345.4
1027,1027959200,2261,73.8,166861.8
1029,1029959500,2597,71.3,185166.1
1029,1029959600,3805,71.7,272818.5
1029,1029959700,3552,73.4,260716.8
1029,1029959800,5048,76.8,387686.4
1031,1031010100,2196,74.2,162943.2
1031,1031010200,1909,76.6,146229.4
1031,1031010300,4918,77.1,379177.8
1031,1031010400,1958,73.6,144108.8
1031,1031010500,4449,74.1,329670.9
1031,1031010600,1567,77.1,120815.7
1031,1031010700,2236,78.4,175302.4
1031,1031010800,2730,78.5,214305
1031,1031010900,2377,75.6,179701.2
1031,1031011000,3599,75.2,270644.8
1031,1031011100,2020,78.9,159378
1031,1031011201,8164,81.1,662100.4
1031,1031011202,8492,79.2,672566.4
1031,1031011300,4269,71.9,306941.1
1033,1033020100,3493,72.3,252543.9
1033,1033020200,2276,74.5,169562
1033,1033020300,1842,67.2,123782.4
1033,1033020400,1400,74.6,104440
1033,1033020500,5131,73.7,378154.7
1033,1033020600,4125,73.2,301950
1033,1033020701,5909,75.9,448493.1
1033,1033020703,5415,73.9,400168.5
1033,1033020704,4615,77.1,355816.5
1033,1033020801,4811,75.7,364192.7
1033,1033020802,3539,73.2,259054.8
1033,1033020901,4000,72.5,290000
1033,1033020902,3915,75.5,295582.5
1033,1033021000,3973,71.5,284069.5
1035,1035960200,1731,75.4,130517.4
1035,1035960300,1585,73.2,116022
1035,1035960400,3706,74.6,276467.6
1035,1035960500,1721,74.2,127698.2
1035,1035960600,4122,69.9,288127.8
1037,1037961000,3984,73.9,294417.6
1037,1037961100,3721,79.6,296191.6
1037,1037961200,3322,80.2,266424.4
1039,1039961600,4043,76.4,308885.2
1039,1039961700,4396,76.6,336733.6
1039,1039961800,3071,73.6,226025.6
1039,1039961900,2243,75.6,169570.8
1039,1039962000,3915,73.7,288535.5
1039,1039962100,1922,#N/A,#N/A
1039,1039962300,3103,76.1,236138.3
1039,1039962400,3286,78.3,257293.8
1039,1039962500,1589,72,114408
1039,1039962600,1498,70.6,105758.8
1039,1039962700,1692,72.3,122331.6
1039,1039962800,1839,77.1,141786.9
1039,1039962900,1783,78,139074
1039,1039963000,3506,73.8,258742.8
1041,1041963400,2030,73.3,148799
1041,1041963500,1952,72.1,140739.2
1041,1041963600,3045,74.3,226243.5
1041,1041963700,3729,76.7,286014.3
1041,1041963800,1640,73.8,121032
1041,1041963900,1542,76.9,118579.8
1043,1043964100,5481,72.2,395728.2
1043,1043964200,7312,75.6,552787.2
1043,1043964300,5092,77.6,395139.2
1043,1043964400,4253,76.3,324503.9
1043,1043964500,4257,73.4,312463.8
1043,1043964600,4048,77.4,313315.2
1043,1043964700,4918,74.2,364915.6
1043,1043964800,4604,75.1,345760.4
1043,1043964900,6334,77.9,493418.6
1043,1043965000,6056,75.1,454805.6
1043,1043965100,3728,76.1,283700.8
1043,1043965200,2292,76.6,175567.2
1043,1043965300,4726,77.1,364374.6
1043,1043965401,3053,71.8,219205.4
1043,1043965402,3883,75.7,293943.1
1043,1043965500,5666,76.5,433449
1043,1043965600,2422,72.2,174868.4
1043,1043965700,2840,71.9,204196
1045,1045020000,4895,#N/A,#N/A
1045,1045020100,3543,75,265725
1045,1045020200,2357,81.8,192802.6
1045,1045020300,2470,74,182780
1045,1045020400,2294,76.9,176408.6
1045,1045020500,2064,76.4,157689.6
1045,1045020700,3171,73.6,233385.6
1045,1045020801,3567,75.7,270021.9
1045,1045020802,4214,75.5,318157
1045,1045021101,5076,78.7,399481.2
1045,1045021102,4294,74.4,319473.6
1045,1045021200,2430,76.1,184923
1045,1045021300,4178,81.3,339671.4
1045,1045021400,5313,74.5,395818.5
1047,1047956100,6783,73.4,497872.2
1047,1047956201,2505,76.6,191883
1047,1047956202,1955,71.3,139391.5
1047,1047956300,3819,73.6,281078.4
1047,1047956400,3725,71,264475
1047,1047956500,3476,68.1,236715.6
1047,1047956600,3149,70.4,221689.6
1047,1047956701,1960,78.1,153076
1047,1047956702,1518,73,110814
1047,1047956800,2492,73.6,183411.2
1047,1047956900,2466,70.2,173113.2
1047,1047957000,1197,72.6,86902.2
1047,1047957100,1468,72.2,105989.6
1047,1047957200,1673,72.2,120790.6
1047,1047957300,3968,70.8,280934.4
1049,1049960100,6326,76.2,482041.2
1049,1049960200,3349,76.1,254858.9
1049,1049960300,6915,73.2,506178
1049,1049960400,6262,74.5,466519
1049,1049960500,5287,75.8,400754.6
1049,1049960600,6383,74.6,476171.8
1049,1049960700,8952,76.4,683932.8
1049,1049960800,4937,75.8,374224.6
1049,1049960900,3611,74.1,267575.1
1049,1049961000,3764,73.3,275901.2
1049,1049961100,3303,71.9,237485.7
1049,1049961200,2190,78.8,172572
1049,1049961300,5671,72.9,413415.9
1049,1049961400,4118,76.7,315850.6
1051,1051030100,9665,77,744205
1051,1051030200,4693,73,342589
1051,1051030300,2492,#N/A,#N/A
1051,1051030400,7016,#N/A,#N/A
1051,1051030500,4395,72.1,316879.5
1051,1051030600,6682,73.2,489122.4
1051,1051030701,7142,77.8,555647.6
1051,1051030702,4242,79.7,338087.4
1051,1051030800,6788,74.6,506384.8
1051,1051030901,6255,75.5,472252.5
1051,1051030902,3845,74.9,287990.5
1051,1051031000,7512,76.8,576921.6
1051,1051031100,4522,76.5,345933
1051,1051031200,1764,74,130536
1051,1051031300,3750,76.3,286125
1053,1053969800,5523,71.3,393789.9
1053,1053969900,4364,71.8,313335.2
1053,1053970100,4310,#N/A,#N/A
1053,1053970200,2007,77.8,156144.6
1053,1053970300,3584,73,261632
1053,1053970400,4984,74.9,373301.6
1053,1053970500,5402,74.8,404069.6
1053,1053970600,3816,69.4,264830.4
1053,1053970700,3945,75.2,296664
1055,1055000200,3371,69.3,233610.3
1055,1055000300,2859,73,208707
1055,1055000400,4177,77.1,322046.7
1055,1055000500,1758,66.8,117434.4
1055,1055000600,1835,65.3,119825.5
1055,1055000700,1194,#N/A,#N/A
1055,1055000800,1131,70.5,79735.5
