Day of Week Ending,Lineage Bin,Modeltype,Usa Or Hhsregion,Variant,95CI,Share
8-May-21,VOC,weighted,USA,B.1.617.2,1.3-2.0%,0.016575636
15-May-21,VOC,weighted,USA,B.1.617.2,1.9-3.0%,0.02394429
22-May-21,VOC,weighted,USA,B.1.617.2,3.1-4.9%,0.039652746
29-May-21,VOC,weighted,USA,B.1.617.2,5.8-9.2%,0.073951282
5-Jun-21,VOC,weighted,USA,B.1.617.2,11.5-18.4%,0.146994054
12-Jun-21,VOC,weighted,USA,B.1.617.2,22.0-30.7%,0.261992753
19-Jun-21,VOC,weighted,USA,B.1.617.2,32.7-42.6%,0.375382245
26-Jun-21,VOC,weighted,USA,B.1.617.2,50.1-59.7%,0.549516797
3-Jul-21,VOC,weighted,USA,B.1.617.2,67.2-73.2%,0.702498972
10-Jul-21,VOC,weighted,USA,B.1.617.2,80.2-84.1%,0.822128713
17-Jul-21,VOC,weighted,USA,B.1.617.2,86.5-89.6%,0.881061316
24-Jul-21,VOC,weighted,USA,B.1.617.2,93.8-95.1%,0.944871068
31-Jul-21,VOC,weighted,USA,B.1.617.2,95.9-97.1%,0.965634227
7-Aug-21,VOC,weighted,USA,B.1.617.2,96.4-97.9%,0.972115934
14-Aug-21,VOC,weighted,USA,B.1.617.2,98.5-99.1%,0.987930596
21-Aug-21,VOC,weighted,USA,B.1.617.2,98.6-99.3%,0.989594758
28-Aug-21,VOC,weighted,USA,B.1.617.2,97.8-99.1%,0.985537767
4-Sep-21,VOC,weighted,USA,B.1.617.2,98.8-99.5%,0.991958022
11-Sep-21,VOC,weighted,USA,B.1.617.2,99.0-99.6%,0.993095875
18-Sep-21,VOC,weighted,USA,B.1.617.2,98.8-99.5%,0.991693914
25-Sep-21,VOC,weighted,USA,B.1.617.2,98.9-99.5%,0.99269408
2-Oct-21,VOC,weighted,USA,B.1.617.2,98.9-99.5%,0.99279213
9-Oct-21,VOC,weighted,USA,B.1.617.2,98.9-99.4%,0.992027044
16-Oct-21,VOC,weighted,USA,B.1.617.2,98.8-99.5%,0.991958976
23-Oct-21,VOC,weighted,USA,B.1.617.2,98.6-99.4%,0.990470111
30-Oct-21,VOC,weighted,USA,B.1.617.2,98.9-99.5%,0.992466629
6-Nov-21,VOC,weighted,USA,B.1.617.2,98.1-99.1%,0.987137258
13-Nov-21,VOC,weighted,USA,B.1.617.2,98.1-99.1%,0.986273289
20-Nov-21,VOC,weighted,USA,B.1.617.2,97.8-98.9%,0.983987331
27-Nov-21,VOC,weighted,USA,B.1.617.2,98.6-99.4%,0.990595758
4-Dec-21,VOC,weighted,USA,B.1.617.2,98.8-99.5%,0.991820872
11-Dec-21,VOC,weighted,USA,B.1.617.2,88.1-94.5%,0.917343795
18-Dec-21,VOC,weighted,USA,B.1.617.2,54.8-68.0%,0.615537226
8-May-21,VOC,weighted,USA,B.1.1.529,NA,0
15-May-21,VOC,weighted,USA,B.1.1.529,NA,0
22-May-21,VOC,weighted,USA,B.1.1.529,NA,0
29-May-21,VOC,weighted,USA,B.1.1.529,NA,0
5-Jun-21,VOC,weighted,USA,B.1.1.529,NA,0
12-Jun-21,VOC,weighted,USA,B.1.1.529,NA,0
19-Jun-21,VOC,weighted,USA,B.1.1.529,NA,0
26-Jun-21,VOC,weighted,USA,B.1.1.529,NA,0
3-Jul-21,VOC,weighted,USA,B.1.1.529,NA,0
10-Jul-21,VOC,weighted,USA,B.1.1.529,NA,0
17-Jul-21,VOC,weighted,USA,B.1.1.529,NA,0
24-Jul-21,VOC,weighted,USA,B.1.1.529,NA,0
31-Jul-21,VOC,weighted,USA,B.1.1.529,NA,0
7-Aug-21,VOC,weighted,USA,B.1.1.529,NA,0
14-Aug-21,VOC,weighted,USA,B.1.1.529,NA,0
21-Aug-21,VOC,weighted,USA,B.1.1.529,NA,0
28-Aug-21,VOC,weighted,USA,B.1.1.529,NA,0
4-Sep-21,VOC,weighted,USA,B.1.1.529,NA,0
11-Sep-21,VOC,weighted,USA,B.1.1.529,NA,0
18-Sep-21,VOC,weighted,USA,B.1.1.529,NA,0
25-Sep-21,VOC,weighted,USA,B.1.1.529,NA,0
2-Oct-21,VOC,weighted,USA,B.1.1.529,NA,0
9-Oct-21,VOC,weighted,USA,B.1.1.529,NA,0
