County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Bedford City,Virginia,51515,No Data,No Data,No Data
Shannon County,South Dakota,46113,No Data,No Data,No Data
Wrangell-Petersburg Census Area,Alaska,2280,No Data,No Data,No Data
Wade Hampton Census Area,Alaska,2270,No Data,No Data,No Data
Skagway-Hoonah-Angoon,Alaska,2232,No Data,No Data,No Data
Prince of Wales - Outer Ketchikan,Alaska,2201,No Data,No Data,No Data
Teton County,Wyoming,56039,2.2,1.3,3.2
Pitkin County,Colorado,8097,3.1,1.7,4.9
Gunnison County,Colorado,8051,3.2,1.7,5.2
San Miguel County,Colorado,8113,3.2,1.4,5.5
Nevada County,California,6057,3.5,2,5.8
Clay County,North Carolina,37043,3.5,1.9,5.8
Alexander County,Illinois,17003,3.6,1.4,7.5
Morgan County,Missouri,29141,3.6,1.9,6.1
San Juan County,Washington,53055,3.6,2.4,5.3
Archuleta County,Colorado,8007,3.8,2.3,6
Fillmore County,Minnesota,27045,3.8,2.1,5.9
Billings County,North Dakota,38007,3.9,1.7,7.6
Park County,Colorado,8093,4,2.2,6.7
Pope County,Minnesota,27121,4,2.3,6.4
Summit County,Colorado,8117,4.1,2.5,6.2
Valley County,Idaho,16085,4.1,2.2,7
Hancock County,Iowa,19081,4.1,2,7.2
Hyde County,South Dakota,46069,4.1,2,8
Sierra County,California,6091,4.2,1.6,11.3
Slope County,North Dakota,38087,4.2,2,7.9
Terrell County,Texas,48443,4.2,1.7,14.5
Ouray County,Colorado,8091,4.3,2.2,8.1
Schoolcraft County,Michigan,26153,4.3,2.2,7.6
Esmeralda County,Nevada,32009,4.3,1.9,10.2
Harper County,Oklahoma,40059,4.3,1.8,7.6
Borden County,Texas,48033,4.3,2.1,8.1
Summit County,Utah,49043,4.3,3.2,5.6
Botetourt County,Virginia,51023,4.3,2.5,6.7
Skagway Municipality,Alaska,2230,4.4,2,9.2
Eagle County,Colorado,8037,4.4,2.9,6.3
Republic County,Kansas,20157,4.4,2.7,7.1
Ralls County,Missouri,29173,4.4,2.3,7.8
Garfield County,Colorado,8045,4.5,3,6.3
Gilpin County,Colorado,8047,4.5,1.9,9
Smith County,Kansas,20183,4.5,2.3,8.8
Murray County,Minnesota,27101,4.5,2.9,6.7
Dallas County,Missouri,29059,4.5,1.8,8.8
Jefferson County,Washington,53031,4.5,3.2,6.2
Johnson County,Wyoming,56019,4.5,2.9,6.5
Alpine County,California,6003,4.6,1.7,11.2
Plumas County,California,6063,4.6,2.5,7.6
La Plata County,Colorado,8067,4.6,3.2,6.3
Blaine County,Idaho,16013,4.6,2.7,6.8
Somervell County,Texas,48425,4.6,2,9.2
Bayfield County,Wisconsin,55007,4.6,3.1,6.6
Clear Creek County,Colorado,8019,4.7,2.2,8.7
Bleckley County,Georgia,13023,4.7,1.9,10.2
Winneshiek County,Iowa,19191,4.7,3,6.8
Lincoln County,Kansas,20105,4.7,2.4,8.1
Sioux County,Nebraska,31165,4.7,2.6,8.1
Hanson County,South Dakota,46061,4.7,2.1,10
Coke County,Texas,48081,4.7,2.1,9.1
Routt County,Colorado,8107,4.8,2.8,7.8
Ford County,Illinois,17053,4.8,2.2,10.1
Pawnee County,Nebraska,31133,4.8,2.8,7.5
Santa Fe County,New Mexico,35049,4.8,3.9,5.8
Graham County,North Carolina,37075,4.8,2.2,8.9
Divide County,North Dakota,38023,4.8,2.3,8.7
Clark County,Idaho,16033,4.9,2.1,9.5
Teton County,Idaho,16081,4.9,2.8,7.6
Dundy County,Nebraska,31057,4.9,2.4,8.9
Grant County,Nebraska,31075,4.9,2.6,8.2
Dickens County,Texas,48125,4.9,2.2,9.4
Larimer County,Colorado,8069,5,4.2,5.9
Teller County,Colorado,8119,5,3.2,7.7
Stark County,Illinois,17175,5,2.3,10
Mills County,Iowa,19129,5,2.9,7.6
Carbon County,Montana,30009,5,3.1,7.8
Campbell County,South Dakota,46021,5,2.2,10.3
Elbert County,Colorado,8039,5.1,3.5,7.6
Rush County,Kansas,20165,5.1,2.8,7.8
Sheridan County,Kansas,20179,5.1,2.5,9.1
Miller County,Missouri,29131,5.1,2.9,8.4
Arthur County,Nebraska,31005,5.1,1.7,11.8
Blaine County,Nebraska,31009,5.1,2.6,9.8
Taos County,New Mexico,35055,5.1,3.7,7
Lamoure County,North Dakota,38045,5.1,3.4,7.3
Fisher County,Texas,48151,5.1,2.7,8.8
Falls Church City,Virginia,51610,5.1,2.5,9.5
Haines Borough,Alaska,2100,5.2,2.5,9.5
Boulder County,Colorado,8013,5.2,4.4,6.1
Dolores County,Colorado,8033,5.2,2.4,9
Douglas County,Colorado,8035,5.2,4.3,6.1
Montgomery County,Missouri,29139,5.2,2.7,9.1
Falls County,Texas,48145,5.2,1.4,12.9
Bath County,Virginia,51017,5.2,2.5,9.9
Mariposa County,California,6043,5.3,2.5,9.9
Carter County,Missouri,29035,5.3,2.4,10.4
Gallatin County,Montana,30031,5.3,3.9,6.7
Ravalli County,Montana,30081,5.3,3.7,7.2
Catron County,New Mexico,35003,5.3,3,9.1
Grant County,Oregon,41023,5.3,2.7,9.1
Morgan County,Utah,49029,5.3,3.3,8.4
Kusilvak Census Area,Alaska,2158,5.4,1.8,9.5
Placer County,California,6061,5.4,3.9,7.3
Grand County,Colorado,8049,5.4,3,9
Jefferson County,Colorado,8059,5.4,4.8,6.2
San Juan County,Colorado,8111,5.4,2.7,9.4
Monroe County,Florida,12087,5.4,4.3,6.7
Beaverhead County,Montana,30001,5.4,3.2,10.3
Madison County,North Carolina,37115,5.4,2.8,9.1
Concho County,Texas,48095,5.4,2.9,9.5
Galax City,Virginia,51640,5.4,2.4,10.8
Santa Cruz County,California,6087,5.5,3.7,7.8
Wilkinson County,Georgia,13319,5.5,2.7,10.6
Dukes County,Massachusetts,25007,5.5,3,9
Grand Traverse County,Michigan,26055,5.5,4.1,7.1
Los Alamos County,New Mexico,35028,5.5,3.5,8.2
Burke County,North Dakota,38013,5.5,3.2,9.3
Kidder County,North Dakota,38043,5.5,2.9,9.9
Benton County,Oregon,41003,5.5,4,7.4
Frio County,Texas,48163,5.5,2.1,11.9
Mills County,Texas,48333,5.5,1.8,13.2
San Saba County,Texas,48411,5.5,2.2,12
Wheeler County,Texas,48483,5.5,2.4,11.6
Wasatch County,Utah,49051,5.5,4.3,6.9
Craig County,Virginia,51045,5.5,2.3,10
Juneau City and Borough,Alaska,2110,5.6,4.2,7.3
Tuolumne County,California,6109,5.6,2.9,10.2
Denver County,Colorado,8031,5.6,5,6.4
Rio Blanco County,Colorado,8103,5.6,2.7,11
Camas County,Idaho,16025,5.6,2.3,13.6
Cass County,Illinois,17017,5.6,2.5,10.2
Brown County,Indiana,18013,5.6,3.3,8.9
Nantucket County,Massachusetts,25019,5.6,2.7,10.4
Emmet County,Michigan,26047,5.6,3.7,8.2
Cedar County,Missouri,29039,5.6,2.9,10.5
Nuckolls County,Nebraska,31129,5.6,3.7,7.9
Putnam County,New York,36079,5.6,4.4,7
Grant County,South Dakota,46051,5.6,3,9.1
Lake County,South Dakota,46079,5.6,3.3,8.5
Mason County,Texas,48319,5.6,2.2,13.2
Real County,Texas,48385,5.6,2.5,11.4
Alexandria City,Virginia,51510,5.6,4,7.6
Sheboygan County,Wisconsin,55117,5.6,4,7.6
Custer County,Idaho,16037,5.7,3.1,9.7
Clinton County,Illinois,17027,5.7,2.7,12
Union County,Indiana,18161,5.7,3,9.8
Ozark County,Missouri,29153,5.7,3,10.5
Madison County,Montana,30057,5.7,3.5,9.3
Hunterdon County,New Jersey,34019,5.7,4.5,7
Edwards County,Texas,48137,5.7,2.5,11.8
Howard County,Texas,48227,5.7,2.2,11.7
Karnes County,Texas,48255,5.7,2.8,10.9
Sherman County,Texas,48421,5.7,2.2,16.7
Dane County,Wisconsin,55025,5.7,4.4,7
Ozaukee County,Wisconsin,55089,5.7,3.6,8.7
Pepin County,Wisconsin,55091,5.7,2.2,13.5
North Slope Borough,Alaska,2185,5.8,2.9,9.8
Sitka City and Borough,Alaska,2220,5.8,3,10.2
Treutlen County,Georgia,13283,5.8,2.2,11.8
Pocahontas County,Iowa,19151,5.8,3.4,9
Rawlins County,Kansas,20153,5.8,2.9,9.7
Norman County,Minnesota,27107,5.8,3.5,8.6
Wheatland County,Montana,30107,5.8,2.7,10.9
Douglas County,Nevada,32005,5.8,4.3,7.7
Eureka County,Nevada,32011,5.8,3.2,10.3
