FIPS,Name of Area,Qualifying Name,Nation,State,County,Physically Unhealthy Days per Month (Persons 18 Years and Over),Mentally Unhealthy Days per Month (Persons 18 Years and Over),"Percent of Persons Without Insurance (Population Under 19 Years, 2013 est.)","Percent of Persons Without Insurance (Population Under 65 Years, 2013 est.)","Premature Age-adjusted Mortality Rate per 100,000 Population",Percent Diabetics (Adults),Percent Current Smokers (Persons 18 Years and Over),Percent Drinking Adults (Persons 18 Years and Over),Percent of Persons with Limited Access to Healthy Foods,Percent of Persons with Access to Exercise Opportunities,Percent Obese Persons (20 Years and Over),Percent Percent Physically Inactive Persons (20 Years and Over),Percent of Children Eligible for Free Lunch (Persons < 18 Years),Food Environment Index,Air Pollution Particulate Matter Average Daily Pm2.5,Presence of Drinking Water Violations,Percentage of Households with Severe Housing Problems,Percentage of Households with High Housing Costs,Percentage of Households with Overcrowding,Percentage of Households with Lack of Kitchen or Plumbing Facilities,Percent of Driving Alone to Work,Percent of Long Commute Driving Alone Workers Who Drive Alone
Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T001_002,SE_T006_001,SE_T006_003,SE_NV006_003,SE_T009_001,SE_T011_001,SE_T011_002,SE_T012_001,SE_T012_002,SE_T012_003,SE_T012_004,SE_T012_005,SE_T013_001,SE_T016_001,SE_T016_002,SE_T016_003,SE_T016_004,SE_T016_005,SE_T016_006,SE_T016_007,SE_T016_009
1001,Autauga County,"Autauga County, Alabama",0,1,1,4.743888867,4.654031397,2.66915405,11.14898915,417.5475505,11.1,18.08155718,15.02603126,11.991125,69.13012406,33.3,34.7,43.40867308,7.2,11.7,No,14.66346154,12.8267183,1.201923077,1.346153846,86.52366137,39.6
1003,Baldwin County,"Baldwin County, Alabama",0,1,3,4.224519202,4.304056469,3.538763291,14.34852477,353.3431105,10.7,17.4890326,17.9583101,5.424426597,73.71354895,31,26.5,48.48656472,8,10.3,No,13.56620093,12.27738802,1.27079175,0.479041916,84.28243273,41.7
1005,Barbour County,"Barbour County, Alabama",0,1,5,5.430278859,5.185594413,2.913533835,16.08583414,497.3500621,17.6,21.99998453,12.84401555,10.73966657,53.16676986,41.7,23.5,63.29230204,5.6,11.5,No,14.58333333,13.44594595,1.688596491,0.603070175,83.36847037,32.2
1007,Bibb County,"Bibb County, Alabama",0,1,7,4.591482438,4.551698849,2.617801047,13,589.0411168,14.5,19.11419989,15.57004237,2.601627008,16.25136374,37.6,33.5,61.56211562,7.8,11.2,No,10.4964539,9.978276611,0.255319149,0.709219858,84.91064687,49.8
1009,Blount County,"Blount County, Alabama",0,1,9,4.86080763,4.891454668,4.077283705,17.08234188,515.6118228,17,19.20867197,14.23059383,2.880149823,15.63448589,33.8,30.3,52.90628707,8.4,11.7,No,10.54801164,7.851445663,1.891367604,1.091173618,86.17836202,59.4
1011,Bullock County,"Bullock County, Alabama",0,1,11,5.359159343,4.891351043,2.285447761,15.24096386,562.24753,23.7,22.89466401,12.09410123,19.74335074,2.501374382,37.2,24.6,75.78659371,4.3,11.2,No,18.14345992,15.21044993,0.112517581,3.094233474,79.06091371,46
1013,Butler County,"Butler County, Alabama",0,1,13,5.400806197,5.340750195,2.65945946,14.50576534,609.1697074,19.2,21.76533496,11.85740343,2.926121931,48.57974889,43.3,39.5,79.15713819,6.6,10.6,Yes,13.15960912,11.69230769,1.693811075,0.390879479,83.83318316,32.3
1015,Calhoun County,"Calhoun County, Alabama",0,1,15,4.88037674,4.816072288,2.438550848,15.38868712,574.5638416,17.5,20.61256038,13.84223015,9.178566583,47.7212158,38.5,31.7,58.83759322,6.9,11.8,No,13.73419126,11.82493249,1.542045707,0.843132904,84.80921374,31.2
1017,Chambers County,"Chambers County, Alabama",0,1,17,4.941178357,4.873580766,2.538767669,15.22631684,511.6265172,19.9,19.39292705,12.74573462,10.32855828,61.86467923,40.1,30.1,71.12135177,6.4,11.4,No,15.9566787,12.37707948,4.036101083,0.938628159,85.25284801,31.8
1019,Cherokee County,"Cherokee County, Alabama",0,1,19,4.775614101,4.711270423,3.139097744,13.94033268,545.2336902,15.2,17.49867379,14.10656285,0.2211124,33.42952788,35,31.3,61.60624371,8.3,11.4,No,13,11.15207373,1.5,0.5,83.11446593,46.1
