"","SE_A00002_001","SE_A00002_002","SE_A00002_003","PCT_SE_A02001_002","PCT_SE_A02001_003","PCT_SE_A01001_002","PCT_SE_A01001_003","PCT_SE_A01001_004","PCT_SE_A01001_005","PCT_SE_A01001_006","PCT_SE_A01001_007","PCT_SE_A01001_008","PCT_SE_A01001_009","PCT_SE_A01001_010","PCT_SE_A01001_011","PCT_SE_A01001_012","PCT_SE_A01001_013","PCT_SE_A03001_002","PCT_SE_A03001_003","PCT_SE_A03001_004","PCT_SE_A03001_005","PCT_SE_A03001_006","PCT_SE_A03001_007","PCT_SE_A03001_008","SE_A10008_001","PCT_SE_A10008_002","PCT_SE_A10008_003","PCT_SE_A10008_004","PCT_SE_A10008_005","PCT_SE_A10008_006","PCT_SE_A10008_007","PCT_SE_A10008_008","PCT_SE_A10008_009","PCT_SE_A10002B_002","PCT_SE_A10002B_003","PCT_SE_A10002B_004","PCT_SE_A10002B_005","PCT_SE_A10002B_006","PCT_SE_A10002B_007","PCT_SE_A10002B_008","SE_A10003_001","PCT_SE_A12001_002","PCT_SE_A12001_003","PCT_SE_A12001_004","PCT_SE_A12001_005","PCT_SE_A12001_006","PCT_SE_A12001_007","PCT_SE_A12001_008","SE_A14006_001","SE_A14024_001","SE_A18009_001","PCT_SE_A09005_002","PCT_SE_A09005_009","PCT_SE_A09005_010","PCT_SE_A09005_003","PCT_SE_A09005_004","PCT_SE_A09005_005","PCT_SE_A09005_006","PCT_SE_A09005_007","PCT_SE_A09005_008","PCT_SE_A09001_002","PCT_SE_A09001_003","PCT_SE_A09001_004","PCT_SE_A09001_005","PCT_SE_A09001_006","PCT_SE_A09001_007","PCT_SE_A09001_008","PCT_SE_A09001_009","PCT_SE_A09001_010","SE_T001_001","SE_T001_002","SE_T006_001","SE_T006_003","SE_NV006_003","SE_T009_001","SE_T011_001","SE_T011_002","SE_T012_001","SE_T012_002","SE_T012_003","SE_T012_004","SE_T012_005","SE_T013_001","SE_T016_001","SE_T016_003","SE_T016_004","SE_T016_005","SE_T016_006","SE_T016_007","SE_T016_009","SE_T016_002","min_dist","RPL_THEME1","RPL_THEME2","RPL_THEME3","RPL_THEME4","RPL_THEMES","Jan.Precipitation...inch","Feb.Precipitation...inch","Mar.Precipitation...inch","Apr.Precipitation...inch","May.Precipitation...inch","Jun.Precipitation...inch","Jul.Precipitation...inch","Aug.Precipitation...inch","Sep.Precipitation...inch","Oct.Precipitation...inch","Nov.Precipitation...inch","Dec.Precipitation...inch","Jan.Temp.AVG...F","Feb.Temp.AVG...F","Mar.Temp.AVG...F","Apr.Temp.AVG...F","May.Temp.AVG...F","Jun.Temp.AVG...F","Jul.Temp.AVG...F","Aug.Temp.AVG...F","Sep.Temp.AVG...F","Oct.Temp.AVG...F","Nov.Temp.AVG...F","Dec.Temp.AVG...F","f1467517","f0892117","life_exp_col","EP_POV","EP_UNEMP","EP_PCI","EP_NOHSDP","EP_AGE65","EP_AGE17","EP_SNGPNT","EP_DISABL","EP_MINRTY","EP_LIMENG","EP_MUNIT","EP_MOBILE","EP_CROWD","EP_NOVEH","EP_GROUPQ","S2701_C05_012E","S0801_C01_009E","2018 Food Insecurity Rate","all_icu","percent_obese","contained"
"1",55200,92.85992,594.4437488,48.68,51.32,5.91,7.26,6.47,4.58,8.45,12.8,13.36,14.23,12.36,8.53,4.57,1.48,76.88,19.14,0.29,1.03,0.06,0.74,1.87,21115,71.8,56.77,15.03,3.64,11.39,28.2,12.65,15.54,35.99,24.96,9.51,17.43,9.09,1.94,1.08,2.59,11.31,32.61,28.39,15.88,9.16,1.37,1.27,58786,29372,966,95.15,86.52,8.63,0.11,0.17,0.06,0.63,1.12,2.76,97.24,12.49,24.02,22.65,23.74,8.83,3.58,1.93,2.76,4.743888867,4.654031397,2.66915405,11.14898915,417.5475505,11.1,18.08155718,15.02603126,11.991125,69.13012406,33.3,34.7,43.40867308,7.2,11.7,14.66346154,12.8267183,1.201923077,1.346153846,86.52366137,39.6,"2",13834.3181311549,0.3631,0.581,0.5947,0.3741,0.4354,6.78,3.75,3.88,5.17,3.65,4.57,2.69,3.38,0.07,4.44,2.97,6.3,47,58.6,56.1,65,75.5,79.3,81.5,81.8,81.6,69.3,51.7,52,25,55,76.1055018992969,15.4,4.2,29372,11.3,14.6,24.2,7.5,19.3,25,0.8,3.8,18.4,1.4,5.6,1,11,0.1,15.6,6,11.4,"1"
"2",208107,130.9019,1589.793757,48.62,51.38,5.58,5.62,6.88,3.87,7.42,11.21,12.19,13.61,14.07,11.8,5.85,1.9,86.27,9.5,0.73,0.81,0,0.98,1.72,78622,65.32,52.72,12.6,3.08,9.52,34.68,13.96,20.72,42.47,29.15,12,8.81,4.56,2.74,0.28,2.61,9.74,27.61,31.31,20.7,7.71,2.04,0.89,55962,31203,958,91.71,84.28,7.43,0.09,0.14,0.06,0.7,1.17,6.13,93.87,9.99,25.63,18.78,18.7,13.39,5.42,1.95,6.13,4.224519202,4.304056469,3.538763291,14.34852477,353.3431105,10.7,17.4890326,17.9583101,5.424426597,73.71354895,31,26.5,48.48656472,8,10.3,13.56620093,12.27738802,1.27079175,0.479041916,84.28243273,41.7,"2",22055.6680954802,0.2232,0.199,0.4358,0.3359,0.2162,3.6,2.84,2.53,6.45,3.75,7.17,6.75,7.14,0.68,7.57,1.83,5.3,52,62,59.7,66,76.5,81.3,82.5,82.5,82.1,72.3,56.2,56.1,155,348,77.8596058147361,10.6,4.4,31203,9.7,19.5,21.9,5.7,14,17,0.5,18.3,11.7,1.3,3.4,1.4,15.9,0.1,12.9,51,8.2,"1"
"3",25782,29.13214,885.0020309,53.13,46.87,5.39,5.62,6.5,3.56,8.43,14.25,12.04,13.39,12.83,10.94,5.4,1.64,47.38,47.58,0.28,0.37,0,3.02,1.37,9186,65.64,42.54,23.1,3.77,19.33,34.36,14.66,19.69,40.27,19.83,14.55,15.65,6.77,1.07,1.86,2.49,26.97,35.69,25.13,7.8,3.33,0.51,0.58,34186,18461,590,94.23,83.37,10.86,0.26,0.94,0,2.13,1.15,1.3,98.7,25.05,28.26,15.39,12.73,9.35,6.07,1.85,1.3,5.430278859,5.185594413,2.913533835,16.08583414,497.3500621,17.6,21.99998453,12.84401555,10.73966657,53.16676986,41.7,23.5,63.29230204,5.6,11.5,14.58333333,13.44594595,1.688596491,0.603070175,83.36847037,32.2,"2",8486.24666082828,0.978,0.9153,0.8558,0.9889,0.9959,5.86,1.71,3.48,4.71,2.17,3.71,3.18,3.8,1.16,3.52,3.49,7.82,49,58.5,57.4,64.9,75.2,79.6,81.3,81.1,80.6,70.9,52.8,51.6,8,47,74.0729266195299,28.9,9.5,18461,27,18,21.1,12.8,22.2,53.9,1.6,1.3,29.2,3.4,9.2,11.2,18.6,0.3,21.9,5,15.1,"1"
"4",22527,36.1902,622.4613489,53.94,46.06,5.66,5.23,5.72,4.07,9.27,13.65,12.85,15.27,12.03,9.42,4.94,1.9,76.65,22.28,0.04,0.16,0,0.04,0.83,6840,72.32,53.01,19.31,5.66,13.65,27.68,14.17,13.51,40.47,22.87,15.48,18.42,1.94,0,0.82,2.99,16.79,47.34,24.37,7.59,2.8,0.55,0.55,45340,20199,714,95.51,84.91,10.6,0.47,0.13,0,0.55,0.73,2.62,97.38,10.17,23.76,13.14,20.5,21.19,7.83,0.79,2.62,4.591482438,4.551698849,2.617801047,13,589.0411168,14.5,19.11419989,15.57004237,2.601627008,16.25136374,37.6,33.5,61.56211562,7.8,11.2,10.4964539,9.978276611,0.255319149,0.709219858,84.91064687,49.8,"2",15524.4783835348,0.7694,0.1203,0.4323,0.7189,0.6003,6.49,8.03,2.79,5.83,2.43,4.68,2.06,4.7,0.08,5.63,3.61,6.11,45.2,54.9,54.2,63.3,73.8,77.8,79.9,80,79.4,66.2,49,49.8,11,180,73.8829233763936,14,7.5,20199,16.8,16.3,20.7,6,16.7,25.4,0.3,2.4,28.5,0.8,6,9.3,12.7,0.5,15.1,0,12.2,"1"
"5",57645,89.39555,644.8307622,49.33,50.67,6.05,6.3,6.93,4.09,7.89,11.77,12.41,13.79,13.02,10.64,5.61,1.5,95.51,1.5,0.24,0.34,0.03,0.76,1.62,20600,73.32,57.97,15.35,5.75,9.6,26.68,12.19,14.49,35.54,31.25,14.06,12.38,5.36,0.61,0.79,2.77,19.84,34.04,33.48,8.12,3.55,0.61,0.37,48695,22656,662,96.59,86.18,10.41,0.15,0.11,0,0.19,0.71,2.26,97.74,11.65,14.1,12.86,15.77,25.82,14.65,2.89,2.26,4.86080763,4.891454668,4.077283705,17.08234188,515.6118228,17,19.20867197,14.23059383,2.880149823,15.63448589,33.8,30.3,52.90628707,8.4,11.7,10.54801164,7.851445663,1.891367604,1.091173618,86.17836202,59.4,"2",18655.3380878603,0.6143,0.3187,0.5915,0.1741,0.4242,7.26,10.42,4.42,6.01,4.2,4.17,1.94,6.4,0.34,8.41,3.18,7.85,43.6,52.1,51.8,62.2,72.4,76.2,79.8,79.2,79.4,64.9,48,49.6,13,25,76.0034725350892,14.4,4.1,22656,19.8,17.8,23.4,7,14.2,12.9,1.7,0.9,25.2,1.6,4.2,0.9,16.1,0.1,13.6,6,12.2,"1"
"6",10352,16.62156,622.8056655,54.7,45.3,5.76,6.12,5.22,3.67,10.61,10.82,15.45,12.77,13.98,9.77,4.15,1.69,21.99,76.25,1.18,0.54,0,0.05,0,3609,68.74,39.01,29.73,5.26,24.47,31.26,15.1,16.15,31.82,18.35,21.86,23.9,0,2.27,1.81,2.75,24.77,39.65,22.27,7.4,3.22,2,0.68,32152,20346,668,91.42,79.06,12.36,0,0,0,5.84,0,2.74,97.26,19.34,26.19,8.68,13.63,16.95,8.43,4.04,2.74,5.359159343,4.891351043,2.285447761,15.24096386,562.24753,23.7,22.89466401,12.09410123,19.74335074,2.501374382,37.2,24.6,75.78659371,4.3,11.2,18.14345992,15.21044993,0.112517581,3.094233474,79.06091371,46,"2",17066.2301010315,0.9771,0.4438,0.6749,0.765,0.8898,5.07,1.7,3.54,5.46,3.13,4.64,3.13,4.13,0.76,3.4,3.43,6.98,48,58.2,56.6,64.3,74.9,79.1,80.9,80.7,80.5,70,52.3,51.6,3,54,77.1815227570706,31.4,11.1,20346,24.8,15.6,20.8,19.5,14.4,78.5,0.4,1.7,33.4,0,11.7,4.2,16.8,0,20.5,0,27.9,"1"
"7",20025,25.77756,776.8385645,46.78,53.22,6.02,6.46,6.36,3.97,7.85,12.1,11.99,12.12,14.13,10.39,5.83,2.78,52,45.22,0.01,1.15,0,0,1.61,6708,66.03,44.51,21.51,3.04,18.47,33.97,13.94,20.04,44.44,19.49,13.79,14.83,5.26,2.18,0,2.94,15.42,43.86,24.63,9.68,4.72,0.98,0.72,39109,20430,606,96.32,83.83,12.49,0,0,0,0.93,1.18,1.57,98.43,15.94,31.82,17.7,14.27,12.11,4.56,2.03,1.57,5.400806197,5.340750195,2.65945946,14.50576534,609.1697074,19.2,21.76533496,11.85740343,2.926121931,48.57974889,43.3,39.5,79.15713819,6.6,10.6,13.15960912,11.69230769,1.693811075,0.390879479,83.83318316,32.3,"1",14106.8682577781,0.8455,0.9077,0.6447,0.6259,0.8653,6.06,2.44,1.8,6.94,3.21,2.97,3.76,4.66,0.64,5.55,3.08,6.17,48.4,59.3,57,64.4,75.1,79.1,81,81,81.2,70.2,52.6,53.2,5,83,73.2452930354796,23.5,6.7,20430,15.4,19,22.8,10.5,17.7,48.1,0.5,1.3,26.2,1.8,7.8,1.6,16.8,0,19.1,7,17,"1"
"8",115098,189.9722,605.8675299,48.06,51.94,5.7,5.95,6.22,4.02,9.35,13.05,12.03,13,13.84,9.98,5.08,1.78,74.33,20.57,0.31,0.93,0.01,1.48,2.38,45033,68.47,47.73,20.74,4.38,16.36,31.53,14.36,17.17,31.45,27.1,18.87,13.14,7.04,1.1,1.29,2.49,15.95,32.42,33.67,10.19,5.52,1.25,1.01,45197,24706,680,94.37,84.81,9.56,0.32,0.18,0,1.25,0.83,3.05,96.95,14.23,29.86,20.84,16.33,8.54,4.17,2.98,3.05,4.88037674,4.816072288,2.438550848,15.38868712,574.5638416,17.5,20.61256038,13.84223015,9.178566583,47.7212158,38.5,31.7,58.83759322,6.9,11.8,13.73419126,11.82493249,1.542045707,0.843132904,84.80921374,31.2,"2",27999.9622641504,0.7866,0.8303,0.6507,0.6492,0.8252,6.72,8.97,3.67,4.72,2.65,6.34,3.82,4.08,0.44,6.71,3.67,5.31,44.2,52.6,53,63,72.9,76.2,79.6,79.9,78.8,66.2,49.3,49.9,73,402,73.9905902849328,18.6,8.8,24706,15.9,16.8,21.9,10.4,20.8,27.5,1,3.7,14.7,1.7,5.8,2.7,14.9,0.3,17.4,24,15.2,"1"
"9",33826,56.70167,596.5608984,48.06,51.94,5.76,5.11,6.21,3.63,9.63,10.91,11.75,13.74,14.32,11.16,5.71,2.08,57.6,39.38,0.29,1.2,0,0.52,1.03,13516,64.06,42.27,21.8,5.8,16,35.94,15.28,20.66,37.2,31.21,13.66,9.3,4.57,2.3,1.77,2.46,18.6,38.45,29.72,9.34,2.55,1.04,0.3,39872,22827,715,96.67,85.25,11.42,0.19,0,0,0.63,0.72,1.79,98.21,11.34,34.07,21.04,17.32,8.95,4.47,1.01,1.79,4.941178357,4.873580766,2.538767669,15.22631684,511.6265172,19.9,19.39292705,12.74573462,10.32855828,61.86467923,40.1,30.1,71.12135177,6.4,11.4,15.9566787,12.37707948,4.036101083,0.938628159,85.25284801,31.8,"2",15596.4272419135,0.6901,0.6609,0.4597,0.7943,0.7382,5.89,2.83,3.28,6.99,3.24,6.65,3.49,4.19,0.88,4.78,3.68,7.23,45.6,54.6,53.6,62.3,72.7,76.4,79.4,79.6,77.9,66.6,49.7,49.8,14,0,74.0237506969101,16.6,5,22827,18.6,18.9,20.7,9.7,16.7,44.2,0.1,4,14,3,7.3,1.5,16.1,0.2,16.4,0,15.6,"1"
"10",25853,46.7061,553.5250727,49.59,50.41,4.66,5.69,5.88,4.22,7.33,9.78,11.28,14.09,15.33,13.25,6.64,1.85,92.82,4.9,0.91,0.21,0,0.35,0.8,10606,69.13,57.16,11.97,2.37,9.61,30.87,15.59,15.27,41.62,25.76,12.41,12.1,5.87,2.24,0,2.41,19.77,38.33,29.01,6.82,3.56,1.92,0.59,41014,23356,606,96.51,83.11,13.39,0.23,0,0,0.3,1.22,1.75,98.25,14.02,24.19,11.84,21.87,17.72,6.26,2.36,1.75,4.775614101,4.711270423,3.139097744,13.94033268,545.2336902,15.2,17.49867379,14.10656285,0.2211124,33.42952788,35,31.3,61.60624371,8.3,11.4,13,11.15207373,1.5,0.5,83.11446593,46.1,"2",30317.7204504193,0.6879,0.4492,0.2751,0.2741,0.4516,6.97,10.82,4.4,5.26,3.41,4.46,3.97,4.06,0.74,7.83,3.01,6.8,43,51.5,51.7,62.5,72.7,75.7,79.4,79.3,78.7,65.7,48.8,49.4,10,45,74.0915948938788,15,5.6,23356,19.8,21.7,20.4,4.7,20,8.2,0.4,2,29.2,1.5,4.1,1.1,14,0.2,15.6,0,12,"1"
"11",43930,63.40464,692.8514943,49.33,50.67,6.3,7.06,6.53,4.34,7.94,13.27,12.77,12.88,13.14,9.41,4.98,1.37,83.31,9.44,0.28,0.43,0,4.23,2.3,16751,71.2,51.42,19.78,5.77,14.01,28.8,14.09,14.72,28.58,25.04,23.64,14.05,5.06,3.16,0.47,2.6,17.8,44.05,23.99,9.16,3.76,0.9,0.35,45182,24611,684,96.06,83.56,12.49,0,0,0,0.45,1,2.49,97.51,9.92,21.22,15.33,13.84,19.93,14.27,2.99,2.49,4.773382296,4.853244137,4.399667252,17.50468398,519.6308055,18.6,20.18897906,14.50937458,1.460530961,46.29379282,37.7,33.2,60.77003122,8.1,11.2,13.29723225,10.66060606,2.888086643,0.812274368,83.56482827,50.3,"2",6051.08306218261,0.7685,0.8513,0.6966,0.3636,0.7602,6.61,5.48,3.48,5.31,2.67,4.15,2.33,3.56,0.18,4.03,3.44,6.28,45.3,55.8,54.5,63.7,74.1,77.9,80.4,80.6,80,67.4,50,50.4,9,36,74.0491088340674,18.6,7.1,24611,17.8,15.8,24.2,10.3,17.7,19.9,1.9,0.7,32.3,2.7,4.9,0.9,21.8,0,15.8,6,16.8,"1"
"12",13075,14.31359,913.4674848,47.82,52.18,5.13,5.41,5.81,3.92,7.56,10.14,11.06,13.81,15.1,12.6,7.2,2.26,56.75,42.75,0.07,0.1,0,0.06,0.27,5350,65.61,43.42,22.19,4.09,18.09,34.39,16.95,17.44,48.48,22.72,9.75,9.02,5.34,0,4.69,2.41,18.59,38.22,30.21,8.16,3.98,0.4,0.43,34884,22182,533,95.11,82.15,12.96,0,0,0.1,1.45,1.5,1.84,98.16,14.46,22.8,14.58,14.95,15.7,10.76,4.92,1.84,4.93320463,4.987882477,3.517215846,14.11301277,536.1178615,17.4,18.79324829,11.64229062,7.290419052,28.93426654,41.3,36.2,76.97320782,6.4,10.1,11.06115108,8.839779006,1.348920863,1.258992806,82.14631783,44,"1",5181.07959900128,0.9057,0.9083,0.5896,0.5775,0.8748,5.76,5.44,3.72,7.25,4.46,3.32,5.11,4.66,0.21,9.67,3.55,5.27,48,58.7,57.1,63.4,74.8,78.9,81.2,81.8,81,68.3,51.7,52.7,5,25,74.7184023889511,22.2,10.6,22182,18.6,22.1,20.3,8.7,28.4,43.6,0.4,1.1,31.6,1.4,10.1,1.4,19.7,0,20.7,0,13.9,"1"
"13",24387,19.69202,1238.420465,47.32,52.68,5.59,5.64,6.52,4.34,8.73,10.63,11.98,13.6,14,10.56,6.5,1.91,53.04,45.82,0.1,0.5,0,0,0.54,9358,64.48,48.01,16.47,4.54,11.93,35.52,15.36,20.16,55.45,19.05,13.07,5.81,3.84,0.69,2.07,2.57,18.82,43.7,24.93,7.95,3.55,0.59,0.46,36127,21111,561,97.52,88.29,9.23,0.15,0,0.12,0.65,0.58,0.98,99.02,21.03,30.92,11.04,13.36,11.45,9.22,2.01,0.98,5.127337236,5.083736729,2.850877193,15.31550802,492.4612426,22.4,20.57965532,11.86901052,11.1547123,25.27000348,34.1,34.6,71.54297918,5.4,10.4,12.03558346,11.13174695,1.507064364,0.470957614,88.28529685,35,"2",28498.3970955639,0.9436,0.6167,0.4763,0.7345,0.8471,5.87,3.57,3.76,6.19,2.98,2.85,4.29,4.86,0.3,7.63,3.22,6.05,49.2,60.9,57.9,63.8,74.9,78.6,81.4,82,81.2,67.6,52.5,53.3,13,60,75.0169243209818,25.4,14.4,21111,18.8,19,22.1,7.9,17.1,47.1,0.1,1.8,26.5,1.8,10.2,1.5,17.2,0.1,21.1,0,22.5,"1"
"14",13378,22.15044,603.9610129,48.32,51.68,5.01,4.87,7.45,3.74,9.52,8.93,12.36,13.63,14.66,11.54,6.42,1.86,83.02,14.78,1.16,0.13,0,0.19,0.72,5236,69.58,51.91,17.67,3.02,14.65,30.42,14.59,15.83,34.69,32.14,15.07,8.64,5.87,2.97,0.62,2.51,24.5,36.25,29.08,5.49,3.81,0.62,0.24,41225,23147,564,95.43,89.9,5.53,0,0,0,0.74,0.57,3.26,96.74,17.87,28.12,15.72,10.71,8.94,10.95,4.44,3.26,4.958969531,4.982927683,4.338698391,17.21845839,530.9985631,13.5,19.62035415,13.28650366,2.32687988,63.78122308,40.6,32.6,63.47462062,7.8,10.6,11.18359739,8.314393939,0.91332712,2.236719478,89.90234015,37.3,"1",24610.746320468,0.8162,0.6673,0.4247,0.1579,0.564,7.22,7.59,3.24,5.63,2.89,6.44,2.83,4.36,0.41,5.96,5.1,6.07,44.1,53,52.7,61.9,71.9,75.4,78.5,78.8,77.6,65.8,48.7,49,5,129,74.6051340769742,18.4,6.4,23147,24.5,19.8,21.1,9.7,15.3,19.7,0.4,0.4,20.9,0.9,4.2,1.9,17.3,0,15.9,4,14.2,"1"
"15",14938,26.67002,560.1045009,48.74,51.26,5.5,7.06,6.44,4.02,7.06,11.42,12.21,14.13,13.4,10.83,5.17,2.76,94.18,2.63,0.26,0.02,0,0.84,2.07,5726,67.41,53.77,13.64,4.56,9.08,32.59,13.19,19.4,41.61,18.72,19.73,10.76,7.03,1.94,0.22,2.58,22.63,39.59,24.11,8.88,3.21,1.24,0.34,40188,21989,575,95.76,81.36,14.4,0.02,0,0,0.75,0.15,3.32,96.68,10.51,17.27,17.74,22.2,15.8,5.86,7.28,3.32,4.546700394,4.867215456,4.59543276,16.84013566,537.9224809,12.5,18.37446577,14.46296652,2.07171577,41.48410366,37.3,31.3,59.59752322,8,11,12.93916024,10.73298429,1.713796058,1.45672665,81.36321195,55.5,"2",22080.1221046579,0.8694,0.6632,0.3419,0.1,0.5417,7.02,7.68,3.11,5.18,2.09,6.19,2.9,3.7,0.54,6.08,3.43,5.54,43.5,52,52.5,62.1,72.2,74.9,78.4,78.9,77.3,65.4,48.6,49.2,4,0,73.7493534195441,18.5,7.5,21989,22.6,18.8,23,5.5,22.6,7.4,0.7,0.4,30.3,0.9,4,1.1,19.9,0,17.5,0,12.1,"1"
