Random Forest,Logistic Regression - Stepwise,SGBAP,Pop. Density,Alpha Cases
0.117333333,0.362502969,0.144576452,0.001288258,0.008292125
0.108666667,0.542382775,0.16721794,0.00181623,0.008894051
0.752,0.188694293,0.092391402,0.0004038,0.016979321
0.820666667,0.42727931,0.117548016,0.000501756,0.019702247
0.108666667,0.441513751,0.121011479,0.001240177,0.007439246
0.162666667,0.47891809,0.139782267,0.000230169,0.014196014
0.828,0.478870794,0.115565257,0.000357242,0.031194296
0.102,0.297476576,0.108271669,0.002636049,0.009418066
0.795333333,0.473131941,0.113485877,0.000786429,0.096855972
0.072666667,0.290276537,0.114771297,0.000647703,0.006737091
0.148,0.583111159,0.13552546,0.000879457,0.013655052
0.831333333,0.414657032,0.136804717,0.000198138,0.038552175
0.188,0.477904875,0.153034546,0.000272783,0.014475463
0.749333333,0.317069437,0.134979097,0.000306903,0.016668384
0.123333333,0.405736917,0.132095526,0.000369629,0.008877507
0.678,0.255726472,0.112590929,0.001047827,0.023180875
0.122,0.401788175,0.148386597,0.001275444,0.006988661
0.198666667,0.613761211,0.159784994,0.000203763,0.008226794
0.778,0.341658077,0.095314397,0.000230934,0.031033395
0.078666667,0.418457677,0.138747067,0.000502496,0.011611159
0.804,0.482761692,0.125317484,0.000315528,0.01681937
0.135333333,0.507268812,0.128937441,0.001554228,0.007637255
0.117333333,0.243002051,0.10371821,0.001217794,0.005832341
0.154,0.433950525,0.12062914,0.000567102,0.010675635
0.145333333,0.25053807,0.133466668,0.001271089,0.011105419
0.09,0.340966407,0.117485969,0.001821979,0.01222435
0.186,0.608764272,0.16685599,0.00054757,0.007828676
0.086,0.39129427,0.127544269,0.002668466,0.014560673
0.146666667,0.734968987,0.144865741,0.000366194,0.005412981
0.784,0.567762081,0.162826975,0.000690048,0.02110255
0.115333333,0.345868066,0.111866982,0.000639471,0.003778795
0.772666667,0.407351781,0.134112964,0.000180222,0.078875302
0.874,0.519068178,0.13489963,0.000320319,0.036890646
0.158,0.297827322,0.105407205,0.000422552,0.014745537
0.098,0.424202643,0.126413796,0.002497062,0.009792491
0.082666667,0.298330742,0.11840975,0.000670175,0.010255579
0.208,0.672608682,0.173358724,0.008240068,0.015258151
0.162666667,0.457930399,0.146312201,0.000319188,0.007990078
0.122666667,0.398731726,0.149874636,0.001923037,0.004282273
0.091333333,0.420543807,0.150496074,0.000666025,0.004020278
0.748666667,0.318579755,0.134673811,0.003638184,0.026278268
0.104,0.282843007,0.14975641,0.002305809,0.005241108
0.783333333,0.438598809,0.097651754,0.000197919,0.07598502
0.788,0.31258961,0.073464558,0.000433834,0.022588068
0.158666667,0.347333114,0.150373944,0.00619031,0.006980662
0.761333333,0.405523668,0.130825792,0.00027706,0.026314141
0.773333333,0.518147599,0.14911025,0.000559704,0.028959697
0.777333333,0.32163867,0.132055696,0.002333139,0.036587588
0.843333333,0.677193339,0.171359331,0.00468068,0.028669552
0.162,0.51923605,0.177283459,0.00029057,0.006916218
0.822,0.502936289,0.136528879,0.004010233,0.016363845
0.115333333,0.365677898,0.148091721,0.002852928,0.006359436
0.214,0.604970333,0.132610691,0.000182423,0.011125488
0.788666667,0.483399388,0.150800661,0.000319089,0.028226064
0.791333333,0.40020311,0.107345643,0.00068928,0.02231776
0.762666667,0.305424802,0.121979293,0.000539141,0.032039433
0.104,0.250307889,0.093473464,0.001259589,0.010466808
0.770666667,0.40125688,0.121116112,0.001917924,0.016264101
0.182,0.462244591,0.1590695,0.003732763,0.00973494
0.836,0.337691807,0.109985092,0.000198875,0.055031688
0.083333333,0.235844512,0.103744755,0.001517078,0.008964586
0.761333333,0.356665673,0.135209823,0.000786584,0.078422894
0.185333333,0.665130665,0.144023854,0.00216623,0.011485783
0.732666667,0.489395478,0.127869007,0.001131059,0.017364813
0.780666667,0.637372019,0.165120565,0.000213316,0.022971353
0.801333333,0.431546529,0.112417198,0.000168334,0.069118837
0.164666667,0.510181249,0.157637579,0.000540046,0.006535369
0.093333333,0.007731072,0.055012381,6.29E-06,0
0.08,0.002284952,0.057178307,1.77E-05,0
0.092,0.005184476,0.097748842,0.002407851,0.006970539
0.038666667,0.040722053,0.102236919,5.65E-06,0.000599929
0.107333333,0.033706664,0.061920344,2.51E-05,0
0.081333333,0.067387052,0.100440994,1.94E-06,0
0.068,0.01079403,0.046271451,3.25E-06,0
0.088,0.120030451,0.081408555,0.00018818,0
0.071333333,0.001047037,0.064081811,1.44E-05,0.009339124
0.07,0.000635192,0.056729878,4.00E-06,0
0.059333333,0.000232089,0.041223435,0.000165431,0
0.051333333,0.004985354,0.059858834,4.99E-05,0.009314386
0.073333333,0.002498793,0.039028775,3.89E-05,0.003569799
0.038,0.001597951,0.036342083,2.81E-05,0.012695838
0.078,0.043499689,0.126987395,6.15E-06,0.000848615
0.052,0.003668032,0.061961319,2.82E-07,0
0.06,0.034535683,0.103254086,5.76E-05,0.002138504
0.043333333,0.059715108,0.077928663,5.48E-06,0.001102589
0.114666667,0.027297293,0.065175677,1.01E-06,0
0.045333333,0.106570159,0.098642992,2.49E-06,0
0.083333333,6.26E-05,0,1.51E-05,0.01350925
0.068666667,0.001449697,0.03261938,1.66E-05,0.003556441
0.062666667,0.000583465,0.083168802,4.17E-05,0.001298752
0.115333333,0.006525281,0.088361921,3.34E-05,0
0.066,0.105443966,0.088811516,3.33E-06,0.003200436
0.054666667,0.006074196,0.087694337,3.26E-06,0
0.062,0.000850532,0.043116628,1.30E-05,0
0.09,3.95E-05,0.074068175,7.38E-07,0
0.063333333,0.040435031,0.120390818,0,0.002109045
0.738,0.070812171,0.095348998,8.81E-05,0.068894321
0.037333333,0.027091362,0.043785122,0.000283784,0.003416256
0.699333333,0.093570751,0.109615974,0.000104004,0.037363233
0.037333333,0.020872555,0.051611205,0.000155247,0.002654558
0.041333333,0.04428607,0.048985829,0.000113208,0.004544245
0.067333333,0.068356608,0.066343375,7.11E-05,0.002322658
0.086,0.016743184,0.023186134,6.33E-05,0.007315911
0.095333333,0.338799916,0.178206247,0.006417259,0.009767741
0.058666667,0.034363575,0.050419565,0.000214335,0.006082286
0.726,0.072651656,0.083333414,0.000151112,0.070801411
0.076666667,0.143577629,0.123404707,0.001539928,0.013070639
0.078666667,0.04356123,0.067313717,0.001085088,0.009462261
0.086666667,0.166933899,0.106510272,0.000522172,0.007828294
0.039333333,0.029495835,0.069447392,0.000383281,0.003706498
0.113333333,0.180025161,0.084973147,0.00052259,0.00438556
0.088,0.234568379,0.132393222,0.000253879,0.001261615
0.111333333,0.537363345,0.16417092,0.000307502,0.00841708
0.064,0.069316132,0.062440009,0.001031672,0.001315261
0.097333333,0.090380622,0.118414344,0.004240258,0.004030547
0.068666667,0.075071539,0.075978777,0.000876631,0.001473379
0.144666667,0.566484081,0.167893359,0.000233519,0.012298024
0.092666667,0.429694575,0.162161132,0.000114344,0
0.053333333,0.028449178,0.093011968,0.00061386,0.001943323
0.154666667,0.529304724,0.164117168,0.00023267,0.009811497
0.125333333,0.361380498,0.160627527,0.000358198,0.014825676
0.106,0.142937075,0.10435177,0.00032636,0.002274133
0.697333333,0.148982293,0.127325207,0.000631842,0.03231318
0.141333333,0.285368513,0.153081354,0.000190466,0.015250545
0.164666667,0.61626535,0.162609031,0.000432377,0.006113055
0.100666667,0.179515165,0.109975735,0.000524871,0.006878727
0.094,0.260441509,0.122800733,0.002073591,0.007398057
0.1,0.265663239,0.112450471,0.001466054,0.000697491
0.739333333,0.375333447,0.144024204,0.001114016,0.043012546
0.092,0.436584786,0.145516687,0.000382217,0.011420619
0.113333333,0.358077814,0.145027819,0.000154037,0.001573734
0.132,0.46099185,0.164697324,0.000214258,0.015534271
