"","se_a00002_002","se_a00002_003","pct_se_a01001_005","pct_se_a01001_008","pct_se_a01001_009","pct_se_a01001_013","pct_se_a03001_006","pct_se_a03001_007","pct_se_a03001_008","pct_se_a10008_005","pct_se_a10002b_003","pct_se_a10002b_004","pct_se_a10002b_005","pct_se_a10002b_006","pct_se_a10002b_007","pct_se_a10002b_008","pct_se_a12001_004","pct_se_a12001_008","pct_se_a09005_010","pct_se_a09005_004","pct_se_a09005_005","pct_se_a09005_007","pct_se_a09001_005","pct_se_a09001_006","pct_se_a09001_008","pct_se_a09001_009","se_t006_001","se_t009_001","se_t012_001","se_t012_002","se_t012_003","min_dist","mar_precipitation_inch","may_precipitation_inch","jul_precipitation_inch","aug_precipitation_inch","sep_precipitation_inch","nov_precipitation_inch","ep_unemp","ep_groupq","all_icu","case_ind1","met2","met1_1","contained","omicron_quartile","com_lev_ind"
"1",92.85992,594.4437488,4.58,13.36,14.23,1.48,0.06,0.74,1.87,3.64,24.96,9.51,17.43,9.09,1.94,1.08,28.39,1.27,8.63,0.17,0.06,1.12,22.65,23.74,3.58,1.93,2.66915405,11.1,11.991125,69.13012406,33.3,13834.3181311549,3.88,3.65,2.69,3.38,0.07,2.97,4.2,1,6,105.604181209615,0.0205016696435505,3.96996719814602,0,0,0
"2",130.9019,1589.793757,3.87,12.19,13.61,1.9,0,0.98,1.72,3.08,29.15,12,8.81,4.56,2.74,0.28,31.31,0.89,7.43,0.14,0.06,1.17,18.78,18.7,5.42,1.95,3.538763291,10.7,5.424426597,73.71354895,31,22055.6680954802,2.53,3.75,6.75,7.14,0.68,1.83,4.4,1.4,51,114.677871650376,0.00475669504828045,7.94923091190927,0,0,0
"3",29.13214,885.0020309,3.56,12.04,13.39,1.64,0,3.02,1.37,3.77,19.83,14.55,15.65,6.77,1.07,1.86,25.13,0.58,10.86,0.94,0,1.15,15.39,12.73,6.07,1.85,2.913533835,17.6,10.73966657,53.16676986,41.7,8486.24666082828,3.48,2.17,3.18,3.8,1.16,3.49,9.5,11.2,5,81.0175808150369,0.0293697978596908,14.2940393855762,1,0,0
"4",36.1902,622.4613489,4.07,12.85,15.27,1.9,0,0.04,0.83,5.66,22.87,15.48,18.42,1.94,0,0.82,24.37,0.55,10.6,0.13,0,0.73,13.14,20.5,7.83,0.79,2.617801047,14.5,2.601627008,16.25136374,37.6,15524.478383537,2.79,2.43,2.06,4.7,0.08,3.61,7.5,9.3,0,66.9822273823346,0.0289597525257511,2.50124307468324,0,0,0
"5",89.39555,644.8307622,4.09,12.41,13.79,1.5,0.03,0.76,1.62,5.75,31.25,14.06,12.38,5.36,0.61,0.79,33.48,0.37,10.41,0.11,0,0.71,12.86,15.77,14.65,2.89,4.077283705,17,2.880149823,15.63448589,33.8,18655.3380878603,4.42,4.2,1.94,6.4,0.34,3.18,4.1,0.9,6,0,0.0289597525257511,2.50124307468324,0,0,0
"6",16.62156,622.8056655,3.67,15.45,12.77,1.69,0,0.05,0,5.26,18.35,21.86,23.9,0,2.27,1.81,22.27,0.68,12.36,0,0,0,8.68,13.63,8.43,4.04,2.285447761,23.7,19.74335074,2.501374382,37.2,17066.2301010315,3.54,3.13,3.13,4.13,0.76,3.43,11.1,4.2,0,0,0.0205016696435505,3.96996719814602,1,0,0
"7",25.77756,776.8385645,3.97,11.99,12.12,2.78,0,0,1.61,3.04,19.49,13.79,14.83,5.26,2.18,0,24.63,0.72,12.49,0,0,1.18,17.7,14.27,4.56,2.03,2.65945946,19.2,2.926121931,48.57974889,43.3,14106.8682577781,1.8,3.21,3.76,4.66,0.64,3.08,6.7,1.6,7,51.4191690662279,0,0,1,0,0
"8",189.9722,605.8675299,4.02,12.03,13,1.78,0.01,1.48,2.38,4.38,27.1,18.87,13.14,7.04,1.1,1.29,33.67,1.01,9.56,0.18,0,0.83,20.84,16.33,4.17,2.98,2.438550848,17.5,9.178566583,47.7212158,38.5,27999.9622641504,3.67,2.65,3.82,4.08,0.44,3.67,8.8,2.7,24,0,0.0170553428471981,29.9985000749963,0,0,0
"9",56.70167,596.5608984,3.63,11.75,13.74,2.08,0,0.52,1.03,5.8,31.21,13.66,9.3,4.57,2.3,1.77,29.72,0.3,11.42,0,0,0.72,21.04,17.32,4.47,1.01,2.538767669,19.9,10.32855828,61.86467923,40.1,15596.4272419135,3.28,3.24,3.49,4.19,0.88,3.68,5,1.5,0,45.1073555061045,0,0,1,0,0
"10",46.7061,553.5250727,4.22,11.28,14.09,1.85,0,0.35,0.8,2.37,25.76,12.41,12.1,5.87,2.24,0,29.01,0.59,13.39,0,0,1.22,11.84,21.87,6.26,2.36,3.139097744,15.2,0.2211124,33.42952788,35,30317.7204504193,4.4,3.41,3.97,4.06,0.74,3.01,5.6,1.1,0,83.9822873721179,0.0226775101657804,5.31356686459703,0,0,0
"11",63.40464,692.8514943,4.34,12.77,12.88,1.37,0,4.23,2.3,5.77,25.04,23.64,14.05,5.06,3.16,0.47,23.99,0.35,12.49,0,0,1,15.33,13.84,14.27,2.99,4.399667252,18.6,1.460530961,46.29379282,37.7,6051.08306218261,3.48,2.67,2.33,3.56,0.18,3.44,7.1,0.9,6,159.80912937787,0.0289597525257511,2.50124307468324,0,0,0
