,0,1,2,3,4,5,6,7,8,9
0,0.580034752,ep_unemp,0.571910027,pct_se_a10002b_004,0.613636744,case_ind2,0.603406693,pct_se_a03001_007,0.580213044,pct_se_a10002b_004
1,0.60548777,case_ind2,0.63086441,pct_se_a01001_008,0.651604864,pct_se_a10008_005,0.64847754,se_t012_003,0.608009245,apr_precipitation_inch
2,0.612209047,pct_se_a09005_005,0.67137347,apr_precipitation_inch,0.667929483,apr_precipitation_inch,0.658989046,pct_se_a09001_009,0.685267812,pct_se_a03001_007
3,0.622596475,pct_se_a10002b_005,0.692539764,pct_se_a03001_007,0.68422065,pct_se_a10002b_005,0.693558436,apr_precipitation_inch,0.708853382,pct_se_a09001_008
4,0.644545645,apr_precipitation_inch,0.709266579,pct_se_a01001_013,0.703271614,pct_se_a09001_009,0.737533916,pct_se_a01001_013,0.726128027,pct_se_a12001_004
5,0.662542247,met2,0.726002941,pct_se_a09001_009,0.704551157,pct_se_a09005_004,0.752085218,ep_groupq,0.735021606,pct_se_a01001_013
6,0.673913043,se_t012_002,0.733001088,pct_se_a10002b_005,0.717129142,pct_se_a03001_007,,,0.737101799,se_t012_003
7,0.679116305,pct_se_a09005_007,,,0.723334504,ep_groupq,,,,
8,0.684176357,pct_se_a10002b_007,,,,,,,,
9,0.692434744,pct_se_a09005_010,,,,,,,,
10,0.69643505,pct_se_a03001_007,,,,,,,,
11,0.699862519,pct_se_a03001_006,,,,,,,,
12,0.706001413,covid_cases_per_100k_1,,,,,,,,
13,0.714947204,pct_se_a10008_005,,,,,,,,
14,0.720532356,pct_se_a10002b_008,,,,,,,,
15,,,,,,,,,,
,0.485784117,41p,0.486691108,41p,0.447078796,41p,0.542166616,41p,0.457702743,41p
