,feature,VIF
41,const,449.08
37,nov_precipitation_inch,1.93
21,pct_se_a09001_005,1.87
23,pct_se_a09001_008,1.81
32,apr_precipitation_inch,1.81
34,jul_precipitation_inch,1.8
22,pct_se_a09001_006,1.74
35,aug_precipitation_inch,1.72
31,mar_precipitation_inch,1.71
25,se_t006_001,1.71
33,may_precipitation_inch,1.7
30,min_dist,1.7
29,se_t012_003,1.69
4,pct_se_a01001_009,1.67
38,ep_unemp,1.66
16,pct_se_a12001_008,1.66
26,se_t009_001,1.66
28,se_t012_002,1.65
7,pct_se_a03001_008,1.64
3,pct_se_a01001_008,1.56
15,pct_se_a12001_004,1.56
2,pct_se_a01001_005,1.54
24,pct_se_a09001_009,1.53
1,se_a00002_003,1.5
8,pct_se_a10008_005,1.46
19,pct_se_a09005_005,1.44
36,sep_precipitation_inch,1.43
20,pct_se_a09005_007,1.41
27,se_t012_001,1.4
40,all_icu,1.39
5,pct_se_a03001_006,1.35
39,ep_groupq,1.34
6,pct_se_a03001_007,1.33
14,pct_se_a10002b_008,1.32
0,se_a00002_002,1.29
12,pct_se_a10002b_006,1.26
9,pct_se_a10002b_003,1.26
11,pct_se_a10002b_005,1.26
10,pct_se_a10002b_004,1.26
13,pct_se_a10002b_007,1.23
17,pct_se_a09005_010,1.22
18,pct_se_a09005_004,1.1
