,feature,VIF
44,const,603.04
5,pct_se_a01001_013,1.92
22,pct_se_a09001_005,1.91
24,pct_se_a09001_008,1.84
23,pct_se_a09001_006,1.75
26,se_t006_001,1.74
34,jul_precipitation_inch,1.73
37,nov_precipitation_inch,1.73
17,pct_se_a12001_008,1.71
32,mar_precipitation_inch,1.71
31,min_dist,1.71
3,pct_se_a01001_008,1.71
38,ep_unemp,1.7
30,se_t012_003,1.7
27,se_t009_001,1.67
4,pct_se_a01001_009,1.67
35,aug_precipitation_inch,1.66
29,se_t012_002,1.66
8,pct_se_a03001_008,1.65
33,may_precipitation_inch,1.61
16,pct_se_a12001_004,1.57
2,pct_se_a01001_005,1.56
25,pct_se_a09001_009,1.53
9,pct_se_a10008_005,1.47
20,pct_se_a09005_005,1.45
36,sep_precipitation_inch,1.45
40,all_icu,1.43
1,se_a00002_003,1.43
41,case_ind1,1.42
21,pct_se_a09005_007,1.41
28,se_t012_001,1.41
6,pct_se_a03001_006,1.35
39,ep_groupq,1.35
7,pct_se_a03001_007,1.34
15,pct_se_a10002b_008,1.32
12,pct_se_a10002b_005,1.31
11,pct_se_a10002b_004,1.3
10,pct_se_a10002b_003,1.29
0,se_a00002_002,1.29
13,pct_se_a10002b_006,1.27
42,met2,1.25
14,pct_se_a10002b_007,1.23
18,pct_se_a09005_010,1.22
19,pct_se_a09005_004,1.11
43,met1_1,1.09
